#num_of_iter: 100
#num_of_exper: 1
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.3
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 2557797826341802628
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
47        0.0443        0.5271        0.0000        0.0394        0.2906        0.0000        0.0000        0.0000        0.0985        0.9374        0.0494        0.0000        0.0000        0.0000        0.0061        0.0030        0.0000        0.0040        0.0000         0.0000         0.0104         0.0000         0.0000         0.0233         0.0052         0.9468         0.0143         
48        0.0495        0.5099        0.0000        0.0446        0.3168        0.0000        0.0000        0.0000        0.0792        0.9406        0.0463        0.0000        0.0000        0.0000        0.0060        0.0060        0.0000        0.0010        0.0000         0.0000         0.0115         0.0000         0.0000         0.0255         0.0064         0.9426         0.0140         
49        0.0667        0.5333        0.0000        0.0444        0.2722        0.0000        0.0000        0.0000        0.0833        0.9386        0.0487        0.0000        0.0000        0.0000        0.0058        0.0058        0.0000        0.0010        0.0000         0.0000         0.0123         0.0000         0.0000         0.0245         0.0074         0.9485         0.0074         
50        0.0592        0.5621        0.0000        0.0533        0.2367        0.0000        0.0000        0.0000        0.0888        0.9312        0.0533        0.0000        0.0000        0.0000        0.0078        0.0058        0.0000        0.0019        0.0000         0.0000         0.0171         0.0000         0.0000         0.0231         0.0110         0.9354         0.0134         
51        0.0741        0.6049        0.0000        0.0679        0.1543        0.0000        0.0000        0.0000        0.0988        0.9261        0.0607        0.0000        0.0000        0.0000        0.0076        0.0047        0.0000        0.0009        0.0000         0.0000         0.0159         0.0000         0.0000         0.0208         0.0098         0.9412         0.0122         
52        0.0833        0.6667        0.0000        0.0556        0.1111        0.0000        0.0000        0.0000        0.0833        0.9229        0.0639        0.0000        0.0000        0.0000        0.0075        0.0047        0.0000        0.0009        0.0000         0.0000         0.0119         0.0000         0.0000         0.0203         0.0167         0.9427         0.0084         
53        0.0552        0.7423        0.0000        0.0613        0.0736        0.0000        0.0000        0.0000        0.0675        0.9138        0.0706        0.0000        0.0000        0.0000        0.0064        0.0037        0.0000        0.0055        0.0000         0.0000         0.0097         0.0000         0.0000         0.0181         0.0181         0.9420         0.0121         
54        0.0738        0.6644        0.0000        0.0671        0.1342        0.0000        0.0000        0.0000        0.0604        0.9286        0.0612        0.0000        0.0000        0.0000        0.0019        0.0056        0.0000        0.0028        0.0000         0.0000         0.0106         0.0000         0.0000         0.0200         0.0129         0.9459         0.0106         
55        0.0593        0.6370        0.0000        0.0593        0.1704        0.0000        0.0000        0.0000        0.0741        0.9293        0.0625        0.0000        0.0000        0.0000        0.0018        0.0027        0.0000        0.0036        0.0000         0.0000         0.0106         0.0000         0.0000         0.0200         0.0141         0.9519         0.0035         
56        0.0522        0.6174        0.0000        0.0870        0.1739        0.0000        0.0000        0.0000        0.0696        0.9272        0.0647        0.0000        0.0000        0.0000        0.0018        0.0054        0.0000        0.0009        0.0000         0.0000         0.0104         0.0000         0.0000         0.0185         0.0139         0.9549         0.0023         
