#num_of_iter: 100
#num_of_exper: 1
#rows: 53
#cols: 53
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 1205451906834191397
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
33        0.1324        0.0000        0.3649        0.1027        0.3595        0.0216        0.0108        0.0054        0.0027        0.9422        0.0000        0.0000        0.0221        0.0000        0.0357        0.0000        0.0000        0.0000        0.0000         0.0043         0.0086         0.0000         0.0000         0.0000         0.0346         0.4190         0.5335         
34        0.1541        0.0000        0.3605        0.1192        0.3227        0.0203        0.0116        0.0058        0.0058        0.9474        0.0000        0.0000        0.0181        0.0000        0.0345        0.0000        0.0000        0.0000        0.0000         0.0041         0.0081         0.0000         0.0000         0.0000         0.0284         0.4442         0.5152         
35        0.1467        0.0000        0.3653        0.1317        0.3084        0.0240        0.0120        0.0060        0.0060        0.9411        0.0000        0.0000        0.0223        0.0000        0.0366        0.0000        0.0000        0.0000        0.0000         0.0042         0.0083         0.0000         0.0000         0.0000         0.0146         0.4927         0.4802         
36        0.1732        0.0000        0.4022        0.1257        0.2458        0.0223        0.0196        0.0056        0.0056        0.9484        0.0000        0.0000        0.0188        0.0000        0.0329        0.0000        0.0000        0.0000        0.0000         0.0039         0.0079         0.0000         0.0000         0.0000         0.0118         0.4843         0.4921         
37        0.1703        0.0000        0.3533        0.1956        0.2240        0.0252        0.0189        0.0063        0.0063        0.9531        0.0000        0.0000        0.0166        0.0000        0.0303        0.0000        0.0000        0.0000        0.0000         0.0039         0.0079         0.0000         0.0000         0.0000         0.0118         0.5059         0.4705         
38        0.1571        0.0000        0.3837        0.2115        0.1934        0.0242        0.0181        0.0060        0.0060        0.9545        0.0000        0.0000        0.0132        0.0000        0.0323        0.0000        0.0000        0.0000        0.0000         0.0038         0.0076         0.0000         0.0000         0.0000         0.0114         0.4905         0.4867         
39        0.1483        0.0000        0.3880        0.2177        0.1956        0.0221        0.0189        0.0063        0.0032        0.9621        0.0000        0.0000        0.0084        0.0000        0.0295        0.0000        0.0000        0.0000        0.0000         0.0037         0.0073         0.0000         0.0000         0.0000         0.0110         0.5018         0.4762         
40        0.2138        0.0000        0.3696        0.2246        0.1377        0.0290        0.0217        0.0036        0.0000        0.9591        0.0000        0.0000        0.0095        0.0000        0.0314        0.0000        0.0000        0.0000        0.0000         0.0036         0.0071         0.0000         0.0000         0.0000         0.0089         0.4643         0.5161         
41        0.2425        0.0000        0.3321        0.2425        0.1269        0.0261        0.0224        0.0075        0.0000        0.9697        0.0000        0.0000        0.0039        0.0000        0.0263        0.0000        0.0000        0.0000        0.0000         0.0036         0.0071         0.0000         0.0000         0.0000         0.0054         0.4464         0.5375         
42        0.2213        0.0000        0.3557        0.2332        0.1304        0.0277        0.0237        0.0079        0.0000        0.9723        0.0000        0.0000        0.0063        0.0000        0.0214        0.0000        0.0000        0.0000        0.0000         0.0035         0.0070         0.0000         0.0000         0.0000         0.0053         0.4316         0.5526         
43        0.2019        0.0000        0.3239        0.2770        0.1221        0.0376        0.0282        0.0094        0.0000        0.9778        0.0000        0.0000        0.0025        0.0000        0.0198        0.0000        0.0000        0.0000        0.0000         0.0017         0.0052         0.0000         0.0000         0.0000         0.0103         0.4605         0.5223         
44        0.1707        0.0000        0.2976        0.3171        0.1268        0.0390        0.0439        0.0049        0.0000        0.9720        0.0000        0.0000        0.0085        0.0000        0.0195        0.0000        0.0000        0.0000        0.0000         0.0000         0.0053         0.0000         0.0000         0.0000         0.0071         0.4920         0.4956         
45        0.1222        0.0000        0.3389        0.3333        0.1111        0.0389        0.0444        0.0111        0.0000        0.9751        0.0000        0.0000        0.0059        0.0000        0.0190        0.0000        0.0000        0.0000        0.0000         0.0000         0.0071         0.0000         0.0000         0.0000         0.0018         0.5238         0.4674         
46        0.1677        0.0000        0.3234        0.2994        0.0958        0.0359        0.0659        0.0120        0.0000        0.9755        0.0000        0.0000        0.0058        0.0000        0.0187        0.0000        0.0000        0.0000        0.0000         0.0000         0.0017         0.0000         0.0000         0.0000         0.0034         0.5616         0.4332         
47        0.1447        0.0000        0.3333        0.3774        0.0252        0.0440        0.0629        0.0126        0.0000        0.9752        0.0000        0.0000        0.0034        0.0000        0.0214        0.0000        0.0000        0.0000        0.0000         0.0000         0.0033         0.0000         0.0000         0.0000         0.0033         0.5449         0.4486         
48        0.1037        0.0000        0.3780        0.4207        0.0000        0.0366        0.0610        0.0000        0.0000        0.9733        0.0000        0.0000        0.0078        0.0000        0.0189        0.0000        0.0000        0.0000        0.0000         0.0000         0.0032         0.0000         0.0000         0.0000         0.0032         0.5568         0.4369         
49        0.0643        0.0000        0.4386        0.3977        0.0000        0.0409        0.0585        0.0000        0.0000        0.9804        0.0000        0.0000        0.0033        0.0000        0.0163        0.0000        0.0000        0.0000        0.0000         0.0000         0.0031         0.0000         0.0000         0.0000         0.0031         0.5609         0.4330         
50        0.0241        0.0000        0.5120        0.3494        0.0000        0.0361        0.0783        0.0000        0.0000        0.9789        0.0000        0.0000        0.0063        0.0000        0.0148        0.0000        0.0000        0.0000        0.0000         0.0000         0.0031         0.0000         0.0000         0.0000         0.0015         0.5688         0.4266         
51        0.0291        0.0000        0.5174        0.3488        0.0000        0.0407        0.0640        0.0000        0.0000        0.9804        0.0000        0.0000        0.0052        0.0000        0.0144        0.0000        0.0000        0.0000        0.0000         0.0000         0.0029         0.0000         0.0000         0.0000         0.0015         0.5800         0.4156         
52        0.0301        0.0000        0.4639        0.4036        0.0000        0.0422        0.0602        0.0000        0.0000        0.9838        0.0000        0.0000        0.0030        0.0000        0.0132        0.0000        0.0000        0.0000        0.0000         0.0000         0.0015         0.0000         0.0000         0.0000         0.0000         0.5712         0.4273         
53        0.0247        0.0000        0.4198        0.4321        0.0000        0.0432        0.0802        0.0000        0.0000        0.9872        0.0000        0.0000        0.0010        0.0000        0.0118        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.5761         0.4239         
54        0.0336        0.0000        0.4027        0.4362        0.0000        0.0470        0.0805        0.0000        0.0000        0.9883        0.0000        0.0000        0.0000        0.0000        0.0117        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.5953         0.4047         
55        0.0490        0.0000        0.3497        0.4685        0.0000        0.0490        0.0839        0.0000        0.0000        0.9885        0.0000        0.0000        0.0000        0.0000        0.0115        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.5816         0.4184         
56        0.0652        0.0000        0.2464        0.5580        0.0000        0.0435        0.0870        0.0000        0.0000        0.9856        0.0000        0.0000        0.0000        0.0000        0.0144        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.5918         0.4082         
57        0.0216        0.0000        0.3022        0.5540        0.0000        0.0432        0.0791        0.0000        0.0000        0.9868        0.0000        0.0000        0.0000        0.0000        0.0132        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.5865         0.4135         
58        0.0145        0.0000        0.2826        0.5797        0.0000        0.0507        0.0725        0.0000        0.0000        0.9869        0.0000        0.0000        0.0000        0.0000        0.0131        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.5760         0.4240         
59        0.0000        0.0000        0.2742        0.5968        0.0000        0.0565        0.0726        0.0000        0.0000        0.9872        0.0000        0.0000        0.0000        0.0000        0.0128        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.5560         0.4440         
60        0.0000        0.0000        0.2696        0.6000        0.0000        0.0609        0.0696        0.0000        0.0000        0.9875        0.0000        0.0000        0.0000        0.0000        0.0125        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.5523         0.4477         
61        0.0000        0.0000        0.2589        0.6161        0.0000        0.0536        0.0714        0.0000        0.0000        0.9896        0.0000        0.0000        0.0000        0.0000        0.0104        0.0000        0.0000        0.0000        0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.5683         0.4317         
