#num_of_iter: 100
#num_of_exper: 1
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.3
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 2557797826341802628
#iter     f_C          f_C_corr          av_sum          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_final          f_cr_0s          f_cr_1s          optim_solut          
59        0.2149       0.7456            0.5149          0.0065          0.1845          0.0431        0.4268        0.3391         0.7497              0.0384                    0.0715           0.0296           0.26                 
60        0.2111       0.7559            0.5195          0.0062          0.1822          0.0404        0.4248        0.3464         0.7451              0.0423                    0.0673           0.0204           0.26                 
61        0.2157       0.7515            0.5252          0.0062          0.1753          0.0388        0.4275        0.3522         0.7432              0.0465                    0.0557           0.0342           0.26                 
62        0.2130       0.7544            0.5319          0.0065          0.1753          0.0373        0.4314        0.3495         0.7489              0.0365                    0.0665           0.0242           0.26                 
63        0.2134       0.7396            0.5267          0.0050          0.1726          0.0419        0.4275        0.3529         0.7420              0.0396                    0.0650           0.0315           0.26                 
64        0.2172       0.7530            0.5321          0.0046          0.1703          0.0361        0.4329        0.3560         0.7259              0.0392                    0.0550           0.0269           0.26                 
65        0.2153       0.7648            0.5319          0.0058          0.1665          0.0365        0.4360        0.3552         0.7363              0.0408                    0.0604           0.0254           0.26                 
66        0.2191       0.7485            0.5274          0.0062          0.1599          0.0331        0.4368        0.3641         0.7413              0.0419                    0.0461           0.0369           0.26                 
67        0.2118       0.7589            0.5302          0.0058          0.1672          0.0323        0.4321        0.3626         0.7366              0.0358                    0.0665           0.0211           0.26                 
68        0.2168       0.7559            0.5302          0.0077          0.1692          0.0331        0.4344        0.3556         0.7466              0.0384                    0.0538           0.0346           0.26                 
69        0.2138       0.7692            0.5407          0.0065          0.1657          0.0331        0.4375        0.3572         0.7386              0.0400                    0.0584           0.0200           0.26                 
70        0.2172       0.7722            0.5416          0.0058          0.1584          0.0358        0.4387        0.3614         0.7386              0.0338                    0.0492           0.0261           0.26                 
71        0.2188       0.7840            0.5535          0.0042          0.1672          0.0300        0.4352        0.3633         0.7355              0.0384                    0.0469           0.0204           0.26                 
72        0.2141       0.7781            0.5471          0.0038          0.1576          0.0296        0.4425        0.3664         0.7347              0.0392                    0.0484           0.0192           0.26                 
73        0.2130       0.7751            0.5471          0.0046          0.1592          0.0269        0.4402        0.3691         0.7343              0.0358                    0.0527           0.0185           0.26                 
74        0.2222       0.7929            0.5612          0.0046          0.1503          0.0215        0.4460        0.3775         0.7316              0.0334                    0.0408           0.0227           0.26                 
75        0.2168       0.7811            0.5539          0.0046          0.1480          0.0208        0.4444        0.3822         0.7243              0.0315                    0.0400           0.0215           0.26                 
76        0.2191       0.7796            0.5541          0.0046          0.1446          0.0208        0.4479        0.3822         0.7274              0.0342                    0.0423           0.0246           0.26                 
77        0.2184       0.7885            0.5636          0.0046          0.1407          0.0185        0.4460        0.3902         0.7259              0.0331                    0.0400           0.0223           0.26                 
78        0.2153       0.7796            0.5538          0.0046          0.1376          0.0211        0.4468        0.3899         0.7201              0.0331                    0.0415           0.0215           0.26                 
79        0.2172       0.7870            0.5627          0.0046          0.1319          0.0192        0.4514        0.3929         0.7224              0.0300                    0.0377           0.0185           0.26                 
80        0.2211       0.7870            0.5660          0.0038          0.1292          0.0219        0.4533        0.3918         0.7140              0.0292                    0.0342           0.0242           0.26                 
81        0.2168       0.7870            0.5673          0.0046          0.1238          0.0219        0.4571        0.3925         0.7147              0.0246                    0.0334           0.0185           0.26                 
82        0.2195       0.7870            0.5685          0.0050          0.1196          0.0200        0.4629        0.3925         0.7174              0.0288                    0.0350           0.0215           0.26                 
