#num_of_iter: 100
#num_of_exper: 1
#rows: 53
#cols: 53
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 1205451906834191397
#iter     f_C          f_C_corr          av_sum          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_final          f_cr_0s          f_cr_1s          
54        0.2049       0.7071            0.5014          0.0062          0.2807          0.0573        0.3937        0.2622         0.7447              0.0511                    0.0458           0.0000           
55        0.1999       0.6938            0.4936          0.0058          0.2730          0.0550        0.4025        0.2637         0.7447              0.0504                    0.0650           0.0000           
56        0.2007       0.6938            0.4942          0.0058          0.2795          0.0531        0.3998        0.2618         0.7489              0.0534                    0.0527           0.0000           
57        0.2011       0.7041            0.5015          0.0050          0.2730          0.0534        0.4064        0.2622         0.7397              0.0565                    0.0519           0.0000           
58        0.1995       0.7012            0.4975          0.0042          0.2672          0.0531        0.4098        0.2657         0.7451              0.0600                    0.0511           0.0000           
59        0.2015       0.7115            0.5099          0.0042          0.2572          0.0477        0.4198        0.2710         0.7405              0.0677                    0.0492           0.0000           
60        0.1995       0.7086            0.5071          0.0046          0.2464          0.0442        0.4291        0.2757         0.7336              0.0577                    0.0496           0.0000           
61        0.2049       0.7249            0.5189          0.0038          0.2280          0.0431        0.4437        0.2814         0.7436              0.0561                    0.0377           0.0000           
62        0.2026       0.7204            0.5214          0.0038          0.2268          0.0369        0.4587        0.2737         0.7309              0.0484                    0.0461           0.0000           
63        0.2045       0.7293            0.5309          0.0038          0.2157          0.0350        0.4721        0.2734         0.7366              0.0515                    0.0373           0.0000           
64        0.2045       0.7322            0.5344          0.0038          0.2188          0.0296        0.4725        0.2753         0.7132              0.0477                    0.0338           0.0000           
65        0.2049       0.7337            0.5318          0.0038          0.2138          0.0277        0.4802        0.2745         0.7205              0.0519                    0.0377           0.0000           
66        0.2053       0.7441            0.5448          0.0038          0.2003          0.0308        0.4817        0.2834         0.7224              0.0427                    0.0334           0.0000           
67        0.2061       0.7500            0.5533          0.0038          0.1965          0.0285        0.4848        0.2864         0.7151              0.0408                    0.0419           0.0000           
68        0.2065       0.7411            0.5525          0.0038          0.1968          0.0327        0.4956        0.2710         0.7082              0.0507                    0.0369           0.0000           
69        0.2026       0.7337            0.5401          0.0038          0.2034          0.0311        0.4979        0.2637         0.7032              0.0408                    0.0388           0.0000           
70        0.2057       0.7396            0.5430          0.0038          0.2088          0.0288        0.4971        0.2614         0.7159              0.0469                    0.0431           0.0000           
71        0.2072       0.7411            0.5414          0.0038          0.1984          0.0315        0.5002        0.2661         0.7128              0.0431                    0.0311           0.0000           
72        0.2061       0.7382            0.5499          0.0038          0.1880          0.0319        0.5002        0.2760         0.7132              0.0458                    0.0458           0.0000           
73        0.2080       0.7426            0.5541          0.0038          0.1799          0.0331        0.5040        0.2791         0.6978              0.0396                    0.0419           0.0000           
74        0.2103       0.7618            0.5634          0.0038          0.1807          0.0327        0.5098        0.2730         0.7090              0.0381                    0.0315           0.0000           
75        0.2122       0.7559            0.5664          0.0038          0.1722          0.0350        0.5117        0.2772         0.7078              0.0434                    0.0327           0.0000           
76        0.2068       0.7530            0.5654          0.0038          0.1592          0.0381        0.5171        0.2818         0.7036              0.0415                    0.0427           0.0000           
77        0.2099       0.7618            0.5720          0.0038          0.1584          0.0369        0.5225        0.2784         0.7047              0.0392                    0.0288           0.0000           
78        0.2111       0.7766            0.5834          0.0038          0.1522          0.0338        0.5263        0.2837         0.6982              0.0342                    0.0319           0.0000           
79        0.2145       0.7796            0.5901          0.0038          0.1442          0.0342        0.5306        0.2872         0.6970              0.0281                    0.0238           0.0000           
80        0.2111       0.7766            0.5841          0.0038          0.1453          0.0377        0.5306        0.2826         0.6940              0.0296                    0.0300           0.0000           
81        0.2149       0.7678            0.5896          0.0038          0.1353          0.0404        0.5375        0.2830         0.6963              0.0292                    0.0304           0.0000           
82        0.2180       0.7914            0.5969          0.0038          0.1303          0.0458        0.5367        0.2834         0.6870              0.0261                    0.0208           0.0000           
83        0.2138       0.7737            0.5920          0.0038          0.1273          0.0427        0.5375        0.2887         0.6901              0.0277                    0.0311           0.0000           
