#num_of_iter: 100
#num_of_exper: 11
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 4526043691492536851
#iter         f_C          f_C_corr        av_sum      f_allC      f_allD        f_kD        f_kC        f_kDC       f_strat_ch      f_0D        f_1D        f_2D        f_3D        f_4D        f_5D        f_6D        f_7D        f_8D        f_0C        f_1C        f_2C        f_3C        f_4C        f_5C        f_6C        f_7C        f_8C        f_0DC       f_1DC       f_2DC       f_3DC       f_4DC        f_5DC       f_6DC       f_7DC       f_8DC
25             0.1858        0.1445          0.3608           0.0162      0.5065        0.1191      0.0054      0.3528      1.0             0.6853      0.2413      0.0524      0.007      0.0      0.0      0.0      0.007       0.007      0.0      0.0      0.1538      0.0       0.3077      0.1538      0.2308      0.0      0.1538      0.0248      0.0035      0.0142      0.0024      0.0       0.0      0.0106      0.4498      0.4947
26             0.1853        0.1445          0.3613           0.0133      0.5002        0.1104      0.0058      0.3703      1.0             0.7396      0.1962      0.0453      0.0075      0.0      0.0      0.0      0.0038       0.0075      0.0      0.0      0.1429      0.0       0.2857      0.2857      0.2143      0.0      0.0714      0.0281      0.0045      0.0112      0.0022      0.0       0.0      0.0101      0.4353      0.5084
27             0.1778        0.1383          0.3479           0.0125      0.509        0.1137      0.005      0.3599      1.0             0.6813      0.2564      0.0403      0.0073      0.0      0.0      0.0      0.0073       0.0073      0.0      0.0      0.1667      0.0       0.3333      0.0833      0.25      0.0      0.1667      0.0243      0.0035      0.015      0.0023      0.0       0.0      0.0081      0.4711      0.4757
28             0.1841        0.1437          0.367           0.0125      0.4927        0.102      0.005      0.3878      1.0             0.702      0.2      0.0735      0.0082      0.0      0.0      0.0      0.0082       0.0082      0.0      0.0      0.1667      0.0       0.3333      0.0833      0.25      0.0      0.1667      0.0279      0.0032      0.0129      0.0021      0.0       0.0      0.0097      0.4952      0.449
29             0.1845        0.1474          0.3739           0.0117      0.4856        0.0983      0.005      0.3994      1.0             0.6271      0.2669      0.0805      0.0085      0.0      0.0      0.0      0.0085       0.0085      0.0      0.0      0.1667      0.0       0.3333      0.0833      0.25      0.0      0.1667      0.024      0.0021      0.0125      0.0021      0.0       0.0      0.0094      0.537      0.4129
30             0.192        0.152          0.3821           0.0121      0.4781        0.0958      0.0046      0.4094      1.0             0.5913      0.2826      0.1      0.0087      0.0      0.0      0.0      0.0087       0.0087      0.0      0.0      0.1818      0.0       0.3636      0.0      0.2727      0.0      0.1818      0.0234      0.002      0.0092      0.002      0.0       0.0      0.0092      0.5534      0.4008
31             0.1874        0.1541          0.3886           0.0112      0.4781        0.0904      0.0058      0.4144      1.0             0.6221      0.235      0.1198      0.0046      0.0      0.0      0.0      0.0092       0.0092      0.0      0.0      0.1429      0.0       0.2857      0.0      0.5      0.0      0.0714      0.0141      0.002      0.0131      0.002      0.0       0.0      0.009      0.5719      0.3879
32             0.1866        0.1549          0.3905           0.0108      0.4777        0.0845      0.0046      0.4223      1.0             0.6552      0.2365      0.0788      0.0099      0.0      0.0      0.0      0.0099       0.0099      0.0      0.0      0.1818      0.0       0.3636      0.0      0.3636      0.0      0.0909      0.0128      0.001      0.0099      0.002      0.0       0.0      0.0118      0.5819      0.3807
33             0.1874        0.1524          0.3875           0.0112      0.4727        0.0729      0.005      0.4382      1.0             0.6457      0.2571      0.0686      0.0114      0.0      0.0      0.0      0.0114       0.0057      0.0      0.0      0.1667      0.0       0.3333      0.0      0.3333      0.0      0.1667      0.0124      0.0      0.0133      0.0019      0.0       0.0      0.0095      0.5894      0.3736
34             0.1816        0.1524          0.3932           0.01      0.4611        0.075      0.005      0.449      1.0             0.7222      0.1778      0.0778      0.0056      0.0      0.0      0.0      0.0111       0.0056      0.0      0.0      0.1667      0.0       0.3333      0.0      0.3333      0.0      0.1667      0.0121      0.0      0.0102      0.0019      0.0       0.0      0.0102      0.5946      0.3711
35             0.192        0.1566          0.4003           0.0108      0.4469        0.0737      0.0067      0.4619      1.0             0.6893      0.226      0.0734      0.0      0.0      0.0      0.0      0.0056       0.0056      0.0      0.0      0.125      0.0       0.25      0.0      0.5      0.0      0.125      0.0144      0.0      0.0126      0.0018      0.0       0.0      0.0099      0.5987      0.3625
36             0.1828        0.1545          0.3975           0.0096      0.439        0.0766      0.0046      0.4702      1.0             0.8098      0.125      0.0652      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.1818      0.0       0.3636      0.0      0.3636      0.0      0.0909      0.0097      0.0      0.0106      0.0018      0.0       0.0      0.0097      0.597      0.3711
37             0.1895        0.1603          0.4112           0.0096      0.4173        0.0796      0.0046      0.489      1.0             0.8115      0.1152      0.0733      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.1818      0.0       0.3636      0.0      0.3636      0.0      0.0909      0.0094      0.0      0.0153      0.0017      0.0       0.0      0.0094      0.586      0.3782
38             0.1841        0.1541          0.3994           0.0083      0.4011        0.0754      0.0067      0.5085      1.0             0.8508      0.0829      0.0663      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.125      0.0       0.25      0.0      0.5      0.0      0.125      0.0106      0.0      0.0131      0.0016      0.0       0.0      0.009      0.6044      0.3612
39             0.1849        0.157          0.4059           0.0067      0.3903        0.0733      0.0054      0.5244      1.0             0.8977      0.0511      0.0511      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.1538      0.0       0.3077      0.0      0.3846      0.0      0.1538      0.0103      0.0      0.0103      0.0016      0.0       0.0      0.0087      0.6156      0.3535
40             0.1903        0.1645          0.4267           0.0054      0.3869        0.0675      0.0067      0.5335      1.0             0.8704      0.0617      0.0679      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.125      0.0       0.25      0.0      0.5625      0.0      0.0625      0.0101      0.0      0.0133      0.0016      0.0       0.0      0.0086      0.6276      0.3388
41             0.1928        0.1678          0.4406           0.0058      0.3594        0.0691      0.0058      0.5598      1.0             0.8373      0.0783      0.0843      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.1429      0.0       0.2857      0.0      0.4286      0.0      0.1429      0.0097      0.0      0.0097      0.0015      0.0       0.0      0.0082      0.6369      0.3341
42             0.1895        0.1624          0.4309           0.0058      0.3723        0.0612      0.0058      0.5548      1.0             0.8912      0.0544      0.0544      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.1429      0.0       0.2857      0.0      0.4286      0.0      0.1429      0.0098      0.0      0.0113      0.0015      0.0       0.0      0.0083      0.6607      0.3086
43             0.1891        0.1633          0.4381           0.0058      0.3578        0.0579      0.0058      0.5727      1.0             0.8345      0.0647      0.1007      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.1429      0.0       0.2857      0.0      0.4286      0.0      0.1429      0.0095      0.0      0.0102      0.0015      0.0       0.0      0.008      0.6647      0.3062
44             0.1974        0.1699          0.45           0.0079      0.3486        0.0608      0.0075      0.5752      1.0             0.7945      0.1027      0.1027      0.0      0.0      0.0      0.0      0.0       0.0      0.0      0.0      0.1111      0.0       0.2222      0.0      0.5556      0.0      0.1111      0.008      0.0      0.0087      0.0014      0.0       0.0      0.0072      0.6676      0.307
