#num_of_iter: 100
#num_of_exper: 1
#rows: 50
#cols: 50
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 3315125470139624379
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
29        0.2589        0.1579        0.1242        0.2400        0.1726        0.0295        0.0105        0.0021        0.0042        0.0385        0.5577        0.1923        0.0000        0.0000        0.0385        0.0385        0.0000        0.1346        0.0000         0.0130         0.0174         0.0826         0.0043         0.0522         0.1304         0.4217         0.2783         
30        0.2358        0.1684        0.1305        0.2379        0.1789        0.0337        0.0084        0.0021        0.0042        0.0400        0.5800        0.1800        0.0000        0.0000        0.0000        0.0600        0.0000        0.1400        0.0000         0.0131         0.0175         0.0742         0.0044         0.0393         0.1223         0.4672         0.2620         
31        0.2336        0.1393        0.1475        0.2418        0.1967        0.0307        0.0041        0.0020        0.0041        0.0435        0.6522        0.1087        0.0000        0.0000        0.0000        0.0435        0.0000        0.1522        0.0000         0.0083         0.0167         0.0750         0.0042         0.0333         0.1167         0.4958         0.2500         
32        0.2027        0.1224        0.1453        0.2581        0.2084        0.0344        0.0229        0.0019        0.0038        0.0488        0.6341        0.1220        0.0000        0.0000        0.0000        0.0244        0.0000        0.1707        0.0000         0.0039         0.0155         0.0504         0.0039         0.0271         0.0930         0.5155         0.2907         
33        0.2348        0.1398        0.1416        0.2509        0.1828        0.0305        0.0143        0.0018        0.0036        0.0444        0.6889        0.1111        0.0000        0.0000        0.0000        0.0222        0.0000        0.1333        0.0000         0.0038         0.0150         0.0489         0.0038         0.0226         0.0940         0.5489         0.2632         
34        0.2272        0.1413        0.1789        0.2326        0.1664        0.0358        0.0125        0.0018        0.0036        0.0455        0.6591        0.1364        0.0000        0.0000        0.0000        0.0227        0.0000        0.1364        0.0000         0.0035         0.0138         0.0415         0.0035         0.0035         0.1003         0.5675         0.2664         
35        0.2455        0.1264        0.2040        0.2220        0.1336        0.0451        0.0181        0.0018        0.0036        0.0417        0.6875        0.1250        0.0000        0.0000        0.0000        0.0208        0.0000        0.1250        0.0000         0.0035         0.0140         0.0420         0.0035         0.0035         0.0944         0.5734         0.2657         
36        0.2095        0.1197        0.2025        0.2377        0.1549        0.0581        0.0123        0.0018        0.0035        0.0263        0.6053        0.1842        0.0000        0.0000        0.0000        0.0263        0.0000        0.1579        0.0000         0.0033         0.0133         0.0399         0.0033         0.0000         0.1096         0.5515         0.2791         
37        0.1752        0.1276        0.2419        0.2305        0.1543        0.0514        0.0133        0.0019        0.0038        0.0513        0.5641        0.2051        0.0000        0.0000        0.0000        0.0256        0.0000        0.1538        0.0000         0.0031         0.0125         0.0345         0.0031         0.0000         0.0690         0.5392         0.3386         
38        0.1481        0.1481        0.2596        0.2303        0.1389        0.0512        0.0183        0.0018        0.0037        0.0500        0.5500        0.2250        0.0000        0.0000        0.0000        0.0250        0.0000        0.1500        0.0000         0.0000         0.0125         0.0343         0.0031         0.0000         0.0872         0.5265         0.3364         
