#num_of_iter: 100
#num_of_exper: 1
#rows: 50
#cols: 50
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 3315125470139624379
#iter     f_C          f_C_corr          av_sum          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_final          f_cr_0s          f_cr_1s          
88        0.1720       0.5680            0.3946          0.0068          0.4720          0.2116        0.0048        0.3048         0.7940              0.0972                    0.0924           0.0000           
89        0.1788       0.5858            0.4005          0.0060          0.4820          0.2052        0.0048        0.3020         0.7880              0.0868                    0.0664           0.0000           
90        0.1744       0.5888            0.4001          0.0064          0.4920          0.1952        0.0060        0.3004         0.7792              0.0912                    0.0708           0.0000           
91        0.1772       0.5784            0.4049          0.0064          0.4852          0.1952        0.0064        0.3068         0.7936              0.0880                    0.0784           0.0000           
92        0.1720       0.5769            0.3966          0.0068          0.4916          0.1976        0.0048        0.2992         0.7920              0.0760                    0.0936           0.0000           
93        0.1764       0.5947            0.4097          0.0064          0.4884          0.1988        0.0040        0.3024         0.7920              0.0872                    0.0828           0.0000           
94        0.1776       0.5932            0.4024          0.0068          0.4832          0.1992        0.0036        0.3072         0.7840              0.0820                    0.0700           0.0000           
95        0.1776       0.5917            0.4153          0.0060          0.4816          0.2024        0.0040        0.3060         0.7880              0.0772                    0.0784           0.0000           
96        0.1784       0.6021            0.4150          0.0064          0.4740          0.2072        0.0040        0.3084         0.7724              0.0688                    0.0652           0.0000           
97        0.1780       0.5932            0.4103          0.0060          0.4488          0.2248        0.0044        0.3160         0.7832              0.0916                    0.0696           0.0000           
98        0.1784       0.6080            0.4184          0.0064          0.4392          0.2188        0.0064        0.3292         0.7732              0.0868                    0.0716           0.0000           
99        0.1848       0.6139            0.4252          0.0060          0.4320          0.2136        0.0056        0.3428         0.7860              0.0784                    0.0612           0.0000           
